"id","firm_name","pharmacist","address","state","city","taluka","geocode","time_stamp"
259,SUPEKAR AGENCIES - 9011115005,"bharat mohan supekar, DPH, [83649-06/04/2013]","AHMEDNAGAR-C.S.NO. 3890,GROUND FLOOR,JUNA BAZAR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,001.156198"
260,Swami Samarth Agencies - 9850895312,"manisha vardhaman bora, HSC, [C-P-11/09/2014]","Ahmednagar-CS.NO.3875A/2, PROP. NO. Z214085592,GALA NO.3 B.C., BASEMENT,MADANCHANDRA APPARTMENT, NANGARE GALLI,AHMEDNAGAR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,001.50633"
261,SWEETY DIAGNOSTICS AND SURGICALS - 9822069457,"shri pramod nivrutti shirsath, BSC, [C-P-01/09/2006]","AHMEDNAGAR-305, A WING, PRERANA ARCADE,OPP TARAKPUR S. T. STAND",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,001.897437"
262,TANMAY AGENCIES - 7588021681,"ramesh sadashiv naik, DPH, [186359-14/05/2016]","AHMEDNAGAR-SHOP NO. 04, (NORTH SIDE), GR FL, PR NO. Z215086154,SHIVDARSHAN APPARTMEHNT, BURUD LANE,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,002.275133"
263,THANGE AGENCIES - 9420757373,"sagar shivaji thange , BPH, [158209-14/07/2015]","AHMENNAGAR-PLOT NO. 44, CST NO. 6168/1 B, S.NO.2,,GADGIL PATANGAN, NALEGAON",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,002.649244"
264,UJAGARE MEDICALS - 9730719616,"mark chandrasen uzagare, DPH, [26236-26/06/2012]","AHMEDNAGAR-S.NO. 351/1, PLOT NO. 90,,GOVIND PURA",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,003.06284"
265,Vibhuti Agencies - 9850715147,"tanpure sanjeev ashokrao, MSC, [C-P-31/12/2008]","Dist. Ahmednagar-C.t.s.no. 3875/A/2 Madanchandra Arked Near Groundfloor,Nangregalli",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,003.784037"
266,VISHAL AGENCIES - 9420037963,"vishal mulchand shetiya, DPH, [31728-03/04/1995]","AHMEDNAGAR-C. S. NO. 3930, H. NO. 3392,NAGARE GALLI",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,004.164965"
267,YASH MEDICAL AGENCY & GENERAL STORES - 9422088725,"pallavi ramesh urade, DPH, [94705-28/11/2014]","AHMEDNAGAR-S. NO. 32/A+38/1,PLOT NO. 6+7, GALA NO. 1,SANKALP APARTMENT, PIPELINE ROAD, SAVEDI",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,004.591014"
268,H. V. SHAH - 9822990837,"vinay himmatlal shah, HSC, [C-P-06/05/2014]","AHMEDNAGAR-S. NO. 3986/2, G.NO.S1,S-2,S-3 (Gr. Fl), Bmt B1,B2,Pr. No.Z217087848, Flat No.1 (Gr.Fl) BARATOTI KARANJA",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,005.64234"
269,JAY MAHAVEER MEDICAL AND GENERAL STORE - 8087014742,"viren ramesh khinvasara, DPH, [69340-31/03/2004]","AHMEDNAGAR-SURVEY NO. 39/1B+39/1K, PLOT NO. 8, SHOP NO. 2,ANAND NIKETAN APRT. GULMOHAR ROAD, SAVEDI",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,006.016775"
270,MAHALAXMI ENTERPRISES - 9764047748,"rupali vaibhav machale, BA, [C-P-13/08/2013]","TAL. DIST. AHMEDNAGAR-S. NO. 629, PLOT NO. 18,,FIRST FLOOR, WADGAON GUPTA,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,006.60928"
271,MAHALAXMI MEDICAL AND GENERAL STORES - 9766559200,"ashwini raosaheb jadhav, DPH, [137535-25/02/2016]","AHMEDNAGAR-LAND SURVEY NO.11, SHOP NO.1, GROUND FLOOR ,PANSAMBAL CORNER,TAR COLONY, KUSTHADHAM ROAD,SAVEDI",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,006.949339"
272,MAHARAJA MEDICAL AND GENERAL STORES - 9028945637,"abhijeet popatrao, DPH, [69194-04/02/2004]","AHMEDNAGAR-S. NO. 42/1, A, PLOT NO. 53, GALA NO. 1,SAVEDI",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,007.263304"
273,MAHAVEER MEDICAL & GENERAL STORES - 7588170234,"atul chandmal katariya, DPH, [192186-03/11/2016]","AHMEDNAGAR-MILKAT NO. 278,,JEUR AHMEDNAGAR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,007.564847"
274,MAHAVEER MEDICAL AND GENERAL STORES - 9999999999,"mahavir bansilal pitale, DPH, [34646-13/06/1995]","AHMEDNAGAR-C. S. NO. 492,GALA NO.1,H. NO. 6016/674,IN FRONT OF KHALIFA, TOPHAKANA",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,007.909059"
275,MAHAVEER MEDICALS AND GENERAL STORES - 9999999999,"prashant nemichand meher, DPH, [37366-12/08/2003]","AHMEDNAGAR-GAT NO. 51, PLOT NO. 62,ADARSHNAGAR, KALYAN ROAD",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,008.283897"
276,MAHAVIR MEDICAL AND GENERAL STORES - 9960005014,"nilesh chandrakant gandhi, DPH, [73433-11/01/2007]","AHMEDNAGAR-SHOP NO. 01, PROPERTY NO. 891/2,,OPP. GANPATI TEMPLE, A/P - CHICHONDI PATIL,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,008.890816"
277,Mahavir Pharma - 9545404444,"nilesh surajmal muttha, DPH, [41851-12/02/2008]","Ahmednagar-G.L.R. S.NO. 3, B-28, Prerna Arcade,,opp.Tarakpur Bus Stand,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,009.176344"
278,Mahaviranand Medical And General Stores - 9270932093,"tarachand bhavarilal dungarwal, DPH, [20565-30/03/2011]","Ahmednagar.-S.No.46/2, Plot No.3+4+5 Gala No.10,,Anandvihar Apartment, Station Road,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,009.538727"
279,MEW MAHAVEER MEDICAL & GENERAL STORES - 9999999999,"vishal nandkumar firode, DPH, [72923-11/04/2012]","AHMEDNAGAR-C. S. NO. 46/2, PLOT NO. 2, GALA NO. 3,,MALHAR CHOWK, STATION ROAD,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,010.176204"
280,NEW MAHARAJA A MEDICAL AND GENERAL STORES - 9860010666,"sonali prabhakar shinde, DPH, [125541-21/08/2013]","AHMEDNAGAR-C. S. NO. 103/3, PLOT NO. 3, T. P. SCHEME NO. 4,,KALANAGAR, GULMOHAR ROAD",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,010.473844"
281,RAHUL MEDICAL & GENERAL STORES - 9999999999,"rahul hiralal bhandari, DPH, [41805-04/02/1999]","AHMEDNAGAR-GAT NO. 77/4B/2, PLOT NO. 1, GALA NO. 6,SHELKE - NAGWADE COMPLEX, STATION ROAD",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,011.155969"
282,RAHUL MEDICAL AND GENERAL STORES - 9405000800,"rahul chhagnlal firodiya, DPH, [110299-09/01/2015]","NIMBLAK-MILKAT NO. 714 /2, GROUND FLOOR , GALA NO.2,OPPISITE DATTA MANDIR ,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,011.530804"
283,SHAH BROTHERS,"shri yatinkumar mahendralal shah, BCO, [C-P-24/04/2007]","AHMEDNAGAR-3344, SHAH BHAVAN, BURUDGALLI,,AHMEDNAGAR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,012.065637"
284,VAIDYAKIY MAHAVIDYALAY & RUGNALAY MEDICAL STORES - 8888818797,"suryakant popatrao chavan, DPH, [60138-19/12/2001]","AHMEDNAGAR-GAT NO. 595/0,GALA NO. 1,O.P. D. BUILDING, TALMAJLA WADGAONGUPTA, VILADGHAT",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,012.432823"
285,VIGHNAHARTA ENTERPRISES - 9226919292,"vikrant dilip satpute, BPH, [104209-]","AHMEDNAGAR-GROUND FLOOR, BLOCK NO.305A, GROUP S.NO.59/2B,,NIRMAL NAGAR,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,012.802402"
286,VIGHNAHARTA MEDICAL AND GENERAL STORES - 9999999999,"avinash bapurao shelake, DPH, [64740-03/05/2003]","AHMEDNAGAR-MILKAT NO. 1151,,AKOLNER",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,013.164442"
287,AIMS MEDICALS - 7588593279,"rekha arun suryawanshi, DPH, [66111-01/11/2016]","AHMEDNAGAR-SHOP NO. 01, (NORTH SIDE), GR FL, PR. NO. Z145046832,,GLR S.NO. 39, OPP. GURUDWARA, A.NAGAR AURANGABAD ROAD,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,014.228825"
288,BHAIRAV DARSHAN MEDICAL AND GENERAL STORES - 9860345350,"sachin suryabhan satale, DPH, [100507-20/08/2014]","VADGAON GUPTA-MILKAT NO. 1138,NEAR VIKHE PATIL HOSPITAL",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,014.771763"
289,BHAIRAVNATH MEDICAL & GENERAL STORES - 9999999999,"poojadevi khanderao gawande, DPH, [79991-16/08/2007]","AHMEDNAGAR-C. S. NO. 1A+2/3/B,PLOT NO. 14-B, NEAR BHAIRAVNATH HOSPITAL,M.I.D.C., NAGAPUR AHMEDNAGAR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,015.105987"
290,CHAITANYA MEDICAL & GENRAL STORES - 9552554558,"santosh sampat khomane, DPH, [86023-21/06/2010]","Dist. Ahmednagar-S.no. 279/8/211 Plot no. 6 Nagar Pathardi Rd.,Nagardewale",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,015.650056"
291,CHAITANYA MEDICAL AND GENERAL STORES - 9850582662,"sanjay jagannath vaidya, DPH, [25006-27/01/1995]","AHMEDNAGAR-323/1B, VIVEKANAND COLONY,,SAVEDI NAKA,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,016.011754"
292,CHAITANYA MEDICAL AND GENERAL STORES - 9822670779,"mayur khushalchand bora, DPH, [160293-29/11/2014]","CHICHONDI (PATIL)-MILKAT NO 143, GROUND FLOOR,NAGAR JAMKHED ROAD",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,016.380342"
293,G & G MEDICAID - 9822011391,"harshad hemraj gandhi, BE, [C-P-23/02/2010]","Dist. Ahmednagar-Shop no. 18, 19 Govardhan Apartment,Ambedkar Rd.",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,016.734752"
294,JAIN MEDICAL AND GENERAL STORES - 9423918324,"poonam virendra sanklecha, BPH, [97051-02/07/2014]","AHMEDNAGAR-S. NO. 51, GROUND FLOOR ,SHOP NO 3,MAHAVIR COMPLEX OPP VAIBHAV HOTEL BURUDGAON ROAD",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,018.492252"
295,KAILAS MANAS HOMEO MEDICAL - 9422727004,"dr. sunita nanasaheb vyavahare, bhms, OTH, [C-P-03/07/2014]","AHMEDNAGAR-C. S. NO. 5158 A/2/2, H. NO. 4415, FIRST FLOOR,,NEAR DR. HOSING HOSPITAL, MAHANAGAR PALIKA ROAD,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,018.798844"
296,KEKTAI MEDICAL STORES - 9226984408,"vaishali eknath bawake, BPH, [74506-25/10/2010]","AHMEDNAGAR-GUT NO. 629/19 SHRI SHRI SAMARTH PRASAD,SHRI DATTA NAGAR, OPP. M.I.D.C. AHMEDNAGR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,019.15494"
297,MAITHILI ENTERPRISES - 8097019743,"vaishali jaywant dalvi, BSC, [C-P-11/01/2017]","AHMEDNAGAR-SHOP NO.3 & 4, NORTH GR FL, PR. NO. Z160063092 & Z160063093,,OJAS APPT., NEAR KOHINOOR MANGAL KARYALAY, SAVEDI,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,019.45141"
298,OM SAI MEDICAL AND GENERAL STORES - 9999999999,"madhuri gorakshanath shinde, DPH, [65433-03/09/2003]","AHMEDNAGAR-GALA NO.1, MILKAT NO.89,NEAR DR KARALE, KAPURWADI",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,020.131606"
299,Om Sai Medical And General Stores. - 9503717271,"vishal raosaheb phanse, BPH, [83032-13/03/2012]","Ahmednagar-S.NO. 72/2, Plot No. 72,,Gandhi Nagar, Bolhegaon,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,020.476442"
300,OM VITHAI MEDICAL AND GENERAL STORE - 9403733796,"sadhana baban zarekar, DPH, [69528-07/08/2013]","AHMEDNAGAR-GROUND FLOOR, MILKAT NO. 302/2, 4,,AT POST JEUR, BAIJABAI,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,020.829325"
301,OMSAI MEDICAL AND GENERAL STORES - 9823283021,"vikas vilas shelke, DPH, [115879-22/05/2013]","AHMEDNAGAR-MILKAT NO.181,,AT POST NIMGAON WAGHA",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,021.181162"
302,SAI CHAITANYA MEDICAL AND GENERAL STORES - 9850502398,"jyoti balasaheb chemate, DPH, [92070-10/12/2012]","AHMEDNAGAR-S.NO.60, PLOT NO.3,,GAJANAN COLONY CHOWK, NEAR KOTAK BANK, NAVNAGAPUR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,022.103833"
303,SAI DAS PHARMA - 9422616210,"anil sampatrao mohiteof, HSC, [C-P-08/08/2002]","Dist. Ahmednagar-G-5 Shaha Apartment TP Scheme No. 3 Plot no. 3,,Burudgaon Rd.Ahmednagar",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,022.426174"
304,SAI ENTERPRISES - 8087278746,"somnath madhukar kale, DPH, [37278-22/12/2015]","AHMEDNAGAR-SHOP NO. 03, (EAST SIDE), GR.FLR,PL.NO.06,Shrinath Complex,,C.S.NO. 38/1A2, MALMATTA NO. Z162066024, PIPE LINE ROAD,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,022.71908"
305,SAI ENTERPRISES - 9767601287,"shri madhusudhan gore, BSC, [C-P-11/07/2007]","AHMEDNAGAR-C. S. No. 39/1-B/3, Plot No. 3, Gananayak Apartment, Near,Kohinoor Mangal Karyalaya, Gulmohar Rd. Savedi",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,023.013237"
946,SUYOG MEDICAL & GENERAL STORES - 9822212128,"manoj ramaniklal mutha, DPH, [18418-26/12/1986]","SANGAMNEER-GHAR NO. 1062,JUNA KAPAD BAJAR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,874,526.898111"
306,SAI KARUNA MEDICAL AND GENERAL STORES - 942371162,"vaibhav madhukar karle, BPH, [96160-07/03/2013]","AHMEDNAGAR-PLOT NO 17, SECOND FLOOR,,M/S SAI ACCIDENT HOSPITAL, MARKET YARD",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,023.320658"
307,Sai Krishna Medico - 7588600895,"nitin raoji ghule, BPH, [57308-07/02/2013]","Takli Dhokeshwar, Tal Parner-Gut No. 1127, Milkat No. 1495, Shop No.1,,Raghvan Complex, Opp Prastuja Service Station,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,023.70747"
308,SAI KRUSHNA MEDICAL AND GENERAL STORES - 942222037, ,"AHMEDNAGAR-SHOP NO.1, FROM WEST, GR FL, PR NO. Z434117632, S.NO.144/1,COURT COLONY, DAUND ROAD, KEDGAON",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,024.113142"
309,SAI KRUSHNA MEDICAL AND GENERAL STORES - 9011112211,"pooja dattatraya redekar, DPH, [134910-21/01/2016]","AHMEDNAGAR-FINAL PLOT NO. 101/6,NAVODAY HOSPITAL COMPOUND, PREMDAN CHOWK",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,024.499753"
310,SAI MEDICAL - 9922240438,"nitin bhausaheb satpute, DPH, [115541-06/07/2012]","AHMEDNAGAR-C.S.NO. 5019, GALA NO. G 4,JAIL ROAD,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,024.798146"
311,Sai Medical - 9158805314,"sandhya suresh pardeshi, DPH, [33027-17/05/2016]","Ahmednagar.-Plot No.8, S.No.24/1, B,,Pipeline Road, Savedi",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,025.161906"
312,SAI MEDICAL - 9673138957,"yogesh rohidas mehetre, DPH, [156872-02/10/2014]","Ahmednagar-Plot no.16, Khalkar Hospital, Ground floor,,Sattha Colony, Opp. Y.M.C.A. Ground,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,025.483917"
313,SAI MEDICAL & GENERAL STORES - 9763263452,"shaikh arif habib, DPH, [118799-25/05/2016]","AHMEDNAGAR-SHOP NO.1, WEST SIDE, GR FL, PR. NO.292,,MAIN ROAD, AT POST ARANGAON,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,025.788341"
314,SAI MEDICAL AND COSMETICS STORES - 9822510972,"shantaram bhausaheb guldagad, DPH, [74947-05/09/2012]","KALYAN ROAD, AHMEDANGAR-FLAT NO. 29 , S.NO. 11/2,SAI HOSPITAL, JADHAV NAGAR, BEHIND JADHAV PETROL PUMP",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,026.152321"
315,SAI MEDICAL AND GENERAL STORES - 9273301225,"rajendra shivaji mate, DPH, [118757-07/04/2015]","AHMEDNAGAR-SHOP NO.9,,CANTONMENT BOARD,DR. AMBEDKAR ROAD,BHINGAR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,026.459912"
316,SAI MEDICAL AND GENERAL STORES - 9970068929,"sonalkumar machhindranath sonawane, BPH, [129915-29/07/2015]","AHMEDNAGAR-MILKAT NO. 56/1 NAGAR KALYAN ROAD,TAKALI (KHATGAON) TALUKA DIST AHMEDNAGAR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,026.761468"
317,SAI MEDICAL AND GENERAL STORES - 9096811041,"sarika adinath gawali, DPH, [172995-06/02/2016]","AHMEDNAGAR-SHOP NO. 03, (WEST SIDE), MILKAT NO. 749, NEAR SAI CLINIC,,GUT NO. 569, OPP. DATTA MANDIR, A/P - NIMBALAK,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,027.092966"
318,Sai Medical And General Stores. - 9921787087,"ganesh bhimrao katake, BPH, [83482-04/02/2012]","Savedi Area Ahmednagar-T.P.Scheme No.4, Final Plot No. 50/4,Opp. Madanlal Market, Trimurti Colony, Bhutakar wadi,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,027.407492"
319,SAI MEDICOS - 9421334416,"anil nanasaheb karande, DPH, [95338-02/05/2014]","ahmednagar ,dist.ahmednagar-S. No. 59/2B+60+61,Plot no.254,Gala No.1,Gadekar Chowk,Nirmal Nagar,Ahmednagae",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,027.721749"
320,SAI SURGICALS - 9881141240,"mangesh dattatraya keval, BA, [C-P-17/05/1993]","AHMEDNAGAR-B-6, KOHINOOR PLAZA,,GR.FLOOR SAVEDI ROAD",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,029.025771"
321,SAIDEEP MEDICAL AND GENERAL STORES - 9511115005,"nakul shahaji zambare, DPH, [143428-11/01/2016]","AHMEDNAGAR-GLR S. NO. 4,PLOT NO. 2,BANGLOW NO. 3,OPPOSITE TARAKPUR BUS STAND",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,029.401436"
322,SAIESH MEDICAL - 9422791933,"snehal bhausaheb gavali, DPH, [134154-25/08/2016]","Ahmednagar-plot No. 91, Wagh Nursing Home,,Near Hotel Vaibhav, Burudgaon Road, Ahmednagar",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,029.718283"
323,SAIKRIPA MEDICAL AND GENERAL STORES - 9999999999,"kisan santaram sonawane, [11694-01/07/1985]","AHMEDNAGAR-H. NO. 4192,LAXMI KARANJA",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,030.108285"
324,SAILEELA MEDICAL & GENERAL STORES - 9850448990,"pradeep bapusaheb kulange, DPH, [46874-27/06/2006]","AHMEDNAGAR-C. S. NO. 5077, GALA NO. 3,SHANI CHOWK , GUJAR GALLI",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,031.038558"
325,SAINATH MEDICAL & GENERAL STORES - 9404696499,"shailesh arjun kale, DPH, [101178-22/03/2010]","Dist. Ahmednagar-h.no.62/2, at post kaudgaon(jamb).,taluka ahmednagar,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,031.426393"
326,SAINATH MEDICAL AND GENERAL STORES - 8275757313,"shahuraj raghunath sarode, BPH, [146592-17/02/2014]","AHMEDNAGAR-SHOP NO. 2, S. NO. 499/1B, PLOT NO. 66,,500, RENUKANAGAR, NEAR SHAHUNAGAR BUS STOP, KEDGAON,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,031.809486"
327,SAINATH MEDICALS - 9922079470,"bhaskar santram sonawane, DPH, [19357-06/06/1988]","AHMEDNAGAR-HOUSE NO. 3857,,MANUK CHAUK,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,032.180887"
328,Sairaj Medical And General Stores. - 8421020730,"shri dipak amrut khiladkar, DPH, [113759-13/06/2011]","Dist : Ahmednagar-C.S.No.79/6+8/79/3, Renuka Nagar, Bolhegaon,,Near Kakasaheb Maske Hospital Taluka Ahmednagar",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,033.060104"
329,SAISAMRAT MEDICAL & GENERAL STORES - 9999999999,"vilas raosaheb bhise, DPH, [31878-08/01/1993]","AHMEDNAGAR-S. NO. 1013, PLOT NO. 36,GALA NO. 3, ANURAG APARTMENT,BHISTBAG ROAD,AHMEDNAGAR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,033.435223"
330,SAISIDDHI MEDICAL & GENERAL STORES - 8975102122,"monika sahebrao bhapkar, DPH, [157815-25/01/2017]","AHMEDNAGAR-S.NO. 903,AT POST AKOLNER",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,033.741074"
331,Saisurya Medical & Genral Stores - 9272735458,"ashok tatyaram tambe, DPH, [46696-03/01/2003]","Dist. Ahmednagar-B-13 Plot no. 1 Bangla no. 10 S.no. 27 Krishna Enclave,R.T.O. Raod,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,034.073474"
332,SAITECH REMEDIES - 8805050006,"dhanesh sureshrao netke, BCO, [C-P-01/06/2013]","KEDGAON, AHMEDNAGAR-S. NO. 6/3, PLOT NO. 14, SHOP NO. 12,,RADHYESHAM COMPLEX, BHUSHAN NAGAR,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,034.380955"
333,SHANAISHWAR MEDICAL AND GENERAL STORES - 9850866335,"vikas madhukar salve, DPH, [69357-05/08/2013]","AHMEDNAGAR-MILKAT NO. 74,,AT POST SHINGVE NAIK, TAL. AHMEDNAGAR,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,034.744366"
334,SHIV CHAITANYA PHARMA - 9881513443,"kum vidya balasaheb timkare, HSC, [C-P-26/03/2013]","AHMEDNAGAR-C.S.NO. 66/2B/2, 66/2B/1/1,BOLHEGAON,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,035.047916"
335,SHREE SAI MEDICAL - 8149414298,"pratibha shankarrao wakle, DPH, [54096-30/11/2016]","AHMEDNAGAR-SHOP NO. 3, FROM EAST, GR. FL, PR. NO. Z164068271,,S.NO. 128, MUNUCIPAL HUDCO, NEAR T.V. CENTRE,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,035.755317"
336,SHREE SAI MEDICAL AND GENERAL STORES - 8623897121,"sandip gitaram belhekar, BPH, [116582-26/09/2012]","AHMEDNAGAR-GUT NO. 634, GRAMPANCHYAT MILKAT NO. 1196,,AHMEDNAGAR AURANGABAD ROAD, JEUR BAIJABAI",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,036.056901"
337,SHREE VAISHANAVI MEDICAL AND GENERAL STORES - 9604818383,"sharad manikrao walke, DPH, [57869-30/01/2001]","AHMEDNAGAR-S.NO. 81/2B+3, BEHIND MARKET YARD, GALA NO.2,,OPP SAI SONA COMPLEX, CHIPADE MALE, SARASNAGAR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,036.438317"
338,Shreesai Medical And General Stores - 9423753402,"ajaykumar amrutlal kankriya, DPH, [34049-28/10/1994]","Ahmednagar-milkat No 1222/2,AT POST Chichindi Patil, Taluka Ahmednagar",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,036.773579"
339,SHRI OM SAI MEDICAL & GENERAL STORES - 9890052300,"aruna subhashrao chavan, DPH, [52804-29/11/2013]","AHMEDNAGAR-CS NO. 4770D, GALA NO.1,,BHOPALE GALLI, MALIWADA,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,037.082883"
340,SHRI SAI MEDICAL & GENERAL STORES - 8805565436,"savita bapusaheb rahane, DPH, [135994-24/02/2015]","Dist. Ahmednagar-S.no. 135/1, 135/2, Plot no. 11 Gala no. 1 Chahurana,Vinayaknagar",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,037.762102"
341,SHRI SAI MEDICAL & GENERAL STORES - 7588695656,"mahesh manjabapu, DPH, [102115-02/09/2009]","dist ahmednagar-s.no.38/1A/2/1/11,pushkar apartment,,pipeline rd,ahmednagar,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,038.168504"
342,SHRI SAI MEDICAL AND GENERAL STORES - 8796535961,"deepali machindra ingale (deepali prabhakar dhamane), DPH, [85839-10/10/2013]","AHMEDNAGAR-SHOP NO. 2, 47/1A2, PLOT NO. 5, MILKAT NO. 380,,CHETANA COLONY, NAVNAGAPUR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,038.47907"
343,Shri Sai Samarth Medicals,"shri jagdish dhanaraj karad, DPH, [118793-27/01/2012]","Ahmednagar-T.P.No. 3, Plot No. 903 A,,Sai Aarya lapro Indoscopi Centre,Besides Bhagirathi Hospital",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,873,038.86499"
